Consumer,Year,Hour,Mean,Std
B11000602,2013,11,75.04918032786885,31.708792802369608
B11000602,2013,12,75.44262295081967,31.1723833920154
B11000602,2013,13,74.88524590163935,30.38206617982377
B11000602,2013,14,75.11475409836065,28.98683515014804
B11000602,2013,15,74.8360655737705,28.003083358723703
B11000602,2013,16,77.04918032786885,28.694614029760704
B11000602,2013,17,76.73770491803279,28.55165006285058
B11000602,2013,18,75.37704918032787,27.939317537851103
B11000602,2013,19,73.95081967213115,26.302361256173814
B11000602,2013,20,70.21311475409836,25.974419951238154
B11000602,2013,21,64.01639344262296,23.901528405298468
B11000602,2013,22,55.59016393442623,20.345660511257538
B11000602,2013,23,46.540983606557376,16.389604195436206
B11000602,2013,24,39.377049180327866,11.724851007477282
B11000603,2013,1,49.278688524590166,6.271977751716981
B11000603,2013,2,48.09836065573771,6.801237431607053
B11000603,2013,3,48.21311475409836,7.2620354219698875
B11000603,2013,4,49.34426229508197,10.163472578965711
B11000603,2013,5,55.540983606557376,13.060849602905883
B11000603,2013,6,69.72131147540983,15.575762311511413
B11000603,2013,7,103.50819672131148,18.343593750789104
B11000603,2013,8,110.52459016393442,16.953472168828277
B11000603,2013,9,109.39344262295081,13.943073176939379
B11000603,2013,10,124.85245901639344,12.605337580530149
B11000603,2013,11,116.1311475409836,12.953088962143438
B11000603,2013,12,115.14754098360656,13.664840608381022
B11000603,2013,13,107.04918032786885,13.530738129050459
B11000603,2013,14,119.91803278688525,11.857901840780004
B11000603,2013,15,117.54098360655738,12.190944413090405
B11000603,2013,16,116.80327868852459,10.118991504643052
B11000603,2013,17,116.18032786885246,11.692601929883287
B11000603,2013,18,112.1311475409836,11.216766334132824
B11000603,2013,19,102.85245901639344,10.238548180892593
B11000603,2013,20,113.73770491803279,10.532333770100943
B11000603,2013,21,94.42622950819673,7.439666247875736
B11000603,2013,22,74.67213114754098,7.945064110241465
B11000603,2013,23,57.32786885245902,5.085014950733216
B11000603,2013,24,51.0655737704918,4.956036226861867
B11000605,2013,1,78.80327868852459,11.677356538947715
B11000605,2013,2,76.91803278688525,11.558972102465416
B11000605,2013,3,76.42622950819673,10.54428599826061
B11000605,2013,4,78.04918032786885,11.93932749293722
B11000605,2013,5,79.75409836065573,13.626757669752696
B11000605,2013,6,105.14754098360656,16.63413765480873
B11000605,2013,7,129.0327868852459,18.10153512193073
B11000605,2013,8,148.85245901639345,18.072848941228358
B11000605,2013,9,151.327868852459,16.322501147674856
B11000605,2013,10,177.47540983606558,20.52852207488973
B11000605,2013,11,180.70491803278688,21.580349288411345
B11000605,2013,12,174.0327868852459,20.46620565152446
B11000605,2013,13,170.9672131147541,17.57172654494975
B11000605,2013,14,175.65573770491804,17.574494061851528
B11000605,2013,15,164.7704918032787,17.66861005910666
B11000605,2013,16,160.88524590163934,17.605016672013065
B11000605,2013,17,165.27868852459017,17.018745691678713
B11000605,2013,18,161.34426229508196,17.985999412414866
B11000605,2013,19,157.40983606557376,15.10891243513833
B11000605,2013,20,162.4262295081967,13.156061994879575
B11000605,2013,21,144.49180327868854,11.828810803598238
B11000605,2013,22,114.40983606557377,11.849580933771918
B11000605,2013,23,93.08196721311475,11.707967489374083
B11000605,2013,24,82.22950819672131,10.668322958839331
B11000606,2013,1,22.0327868852459,3.183118036950322
B11000606,2013,2,18.39344262295082,1.7538404386240514
