Consumer,Hour,Mean,Std
B11000908,20,55.08196721311475,14.987749185193527
B11000908,21,45.442622950819676,15.832654148386622
B11000908,22,43.80327868852459,17.022472776131437
B11000908,23,45.557377049180324,18.8388546780091
B11000908,24,46.78688524590164,20.103922424633556
B11000909,1,66.90163934426229,8.677661009237394
B11000909,2,63.377049180327866,7.527357611017207
B11000909,3,58.704918032786885,5.587879923769095
B11000909,4,57.75409836065574,5.0168755795304625
B11000909,5,57.40983606557377,5.1162776209307665
B11000909,6,62.65573770491803,4.958467656945216
B11000909,7,87.1639344262295,17.196244660446347
B11000909,8,134.29508196721312,53.918075153625146
B11000909,9,203.37704918032787,96.64064988898198
B11000909,10,234.08196721311475,115.5446539302783
B11000909,11,240.40983606557376,118.59856204712288
B11000909,12,239.44262295081967,116.7834656765041
B11000909,13,238.59016393442624,116.7943936798984
B11000909,14,244.45901639344262,117.13444339109104
B11000909,15,245.08196721311475,116.57914993432043
B11000909,16,235.80327868852459,110.05882475877611
B11000909,17,230.7704918032787,107.6584449479491
B11000909,18,194.9016393442623,84.44528831512167
B11000909,19,153.40983606557376,59.02163455780232
B11000909,20,136.60655737704917,49.45548708588811
B11000909,21,117.0327868852459,39.87602394517153
B11000909,22,98.59016393442623,28.729020598748047
B11000909,23,85.44262295081967,19.490665769452885
B11000909,24,74.54098360655738,12.673159672382358
B11000912,1,1.2295081967213115,1.5299570616813245
B11000912,2,1.1147540983606556,0.65532774069858
B11000912,3,1.0327868852459017,0.17807836870820026
B11000912,4,1.0327868852459017,0.17807836870820026
B11000912,5,1.0327868852459017,0.17807836870820026
B11000912,6,1.0327868852459017,0.17807836870820026
B11000912,7,1.1147540983606556,0.4824242285102348
B11000912,8,1.4918032786885247,1.3382512545546592
B11000912,9,2.9672131147540983,2.566922078011349
B11000912,10,10.19672131147541,4.497065243865005
B11000912,11,16.295081967213115,5.715507413456952
B11000912,12,16.62295081967213,5.596146022849716
B11000912,13,16.60655737704918,5.862575634171384
B11000912,14,16.83606557377049,6.0467585893867986
B11000912,15,17.40983606557377,6.33330268690398
B11000912,16,17.950819672131146,6.886494812569558
B11000912,17,19.688524590163933,7.534708722179236
B11000912,18,23.311475409836067,8.631890896328372
B11000912,19,28.65573770491803,10.59056995618154
B11000912,20,12.672131147540984,8.628434334499367
B11000912,21,3.8360655737704916,4.0979016136364645
B11000912,22,2.540983606557377,3.0113107569862483
B11000912,23,1.7377049180327868,1.96611991482819
B11000912,24,1.278688524590164,1.5484645757418318
B11000917,1,89.26229508196721,15.046269228065091
B11000917,2,83.91803278688525,11.533692741755353
B11000917,3,81.40983606557377,9.751632144483418
B11000917,4,79.72131147540983,8.359016232691076
B11000917,5,78.95081967213115,7.586498424472982
B11000917,6,78.52459016393442,7.046930636057903
B11000917,7,88.62295081967213,10.37993640718735
B11000917,8,109.18032786885246,25.652474521434183
B11000917,9,154.70491803278688,57.50391127461268
B11000917,10,189.98360655737704,79.09207993411363
B11000917,11,194.19672131147541,78.00122312452756
B11000917,12,194.9016393442623,75.8265287107945
B11000917,13,183.86885245901638,66.20942318397948
B11000917,14,199.9672131147541,77.44357379241654
B11000917,15,202.9344262295082,78.23186823972277
