Consumer,Contract,Hour,Mean,Std
Original1348_B11003514,高圧小口,9,20.59016393442623,13.457129317998033
Original1348_B11003514,高圧小口,10,38.967213114754095,17.703354515055324
Original1348_B11003514,高圧小口,11,48.73770491803279,22.973899402343353
Original1348_B11003514,高圧小口,12,51.73770491803279,22.961765539692543
Original1348_B11003514,高圧小口,13,53.01639344262295,22.363972639910056
Original1348_B11003514,高圧小口,14,52.885245901639344,23.358291511079774
Original1348_B11003514,高圧小口,15,51.21311475409836,21.13587173278794
Original1348_B11003514,高圧小口,16,51.21311475409836,18.318775420896937
Original1348_B11003514,高圧小口,17,47.19672131147541,16.38353799150397
Original1348_B11003514,高圧小口,18,46.9344262295082,15.805030172990753
Original1348_B11003514,高圧小口,19,47.0655737704918,15.299061208162914
Original1348_B11003514,高圧小口,20,43.22950819672131,16.640256778660863
Original1348_B11003514,高圧小口,21,34.295081967213115,16.439002265499102
Original1348_B11003514,高圧小口,22,26.885245901639344,10.954598346791744
Original1348_B11003514,高圧小口,23,18.737704918032787,4.540894832534635
Original1348_B11003514,高圧小口,24,17.114754098360656,2.5804965887306293
Original1349_B11003515,高圧小口,1,19.21311475409836,5.66876617708281
Original1349_B11003515,高圧小口,2,18.688524590163933,5.391374360522274
Original1349_B11003515,高圧小口,3,18.491803278688526,5.406804913360273
Original1349_B11003515,高圧小口,4,18.524590163934427,5.532635092028263
Original1349_B11003515,高圧小口,5,18.524590163934427,5.532635092028264
Original1349_B11003515,高圧小口,6,18.62295081967213,5.341344874013947
Original1349_B11003515,高圧小口,7,19.262295081967213,5.708497087228288
Original1349_B11003515,高圧小口,8,21.16393442622951,6.811707202463529
Original1349_B11003515,高圧小口,9,23.57377049180328,8.314433463332211
Original1349_B11003515,高圧小口,10,24.114754098360656,7.57497683955933
Original1349_B11003515,高圧小口,11,24.704918032786885,7.4709146680234495
Original1349_B11003515,高圧小口,12,25.65573770491803,8.395715624604854
Original1349_B11003515,高圧小口,13,25.901639344262296,9.047606182876178
Original1349_B11003515,高圧小口,14,26.21311475409836,8.900386350240804
Original1349_B11003515,高圧小口,15,26.39344262295082,8.29631300396885
Original1349_B11003515,高圧小口,16,26.295081967213115,8.761585795335174
Original1349_B11003515,高圧小口,17,27.065573770491802,9.588019936886433
Original1349_B11003515,高圧小口,18,26.557377049180328,9.828904497039957
Original1349_B11003515,高圧小口,19,24.60655737704918,9.18530310149752
Original1349_B11003515,高圧小口,20,23.327868852459016,7.75595236560633
Original1349_B11003515,高圧小口,21,22.42622950819672,7.086026462644152
Original1349_B11003515,高圧小口,22,21.278688524590162,6.389363978560311
Original1349_B11003515,高圧小口,23,20.229508196721312,5.502289963287717
Original1349_B11003515,高圧小口,24,19.557377049180328,5.369997375106769
Original1350_B11003517,高圧小口,1,22.049180327868854,1.3110655097135873
Original1350_B11003517,高圧小口,2,22.016393442622952,1.2077862594356632
Original1350_B11003517,高圧小口,3,21.475409836065573,1.33805042146963
Original1350_B11003517,高圧小口,4,21.065573770491802,1.4010400406046881
Original1350_B11003517,高圧小口,5,21.229508196721312,1.850063735038149
Original1350_B11003517,高圧小口,6,22.0327868852459,2.1574667378835546
Original1350_B11003517,高圧小口,7,23.18032786885246,3.206081294906789
Original1350_B11003517,高圧小口,8,25.934426229508198,7.45229385405466
Original1350_B11003517,高圧小口,9,31.098360655737704,18.00974683106644
Original1350_B11003517,高圧小口,10,45.14754098360656,24.934560955004045
Original1350_B11003517,高圧小口,11,57.77049180327869,26.761480418399113
Original1350_B11003517,高圧小口,12,64.26229508196721,26.10251017345936
Original1350_B11003517,高圧小口,13,65.63934426229508,29.445160356541905
Original1350_B11003517,高圧小口,14,65.68852459016394,29.654038501737162
Original1350_B11003517,高圧小口,15,67.70491803278688,25.58774313541101
Original1350_B11003517,高圧小口,16,71.31147540983606,27.59338301745105
Original1350_B11003517,高圧小口,17,67.26229508196721,26.999636694182474
Original1350_B11003517,高圧小口,18,63.57377049180328,27.006653106464334
Original1350_B11003517,高圧小口,19,61.34426229508197,24.46401522336908
Original1350_B11003517,高圧小口,20,53.24590163934426,20.170304205143513
Original1350_B11003517,高圧小口,21,38.98360655737705,17.681602741757718
Original1350_B11003517,高圧小口,22,29.950819672131146,11.911457811577478
Original1350_B11003517,高圧小口,23,24.9672131147541,6.440057053801732
Original1350_B11003517,高圧小口,24,22.295081967213115,1.5612548787946394
Original1351_B11003520,高圧小口,1,22.0327868852459,4.92223863875749
Original1351_B11003520,高圧小口,2,21.852459016393443,4.895083065233261
Original1351_B11003520,高圧小口,3,21.9672131147541,5.153280709347803
